Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
17,vieille commune,ballan wrasse,10+,0.5-2,Auderville - annees 70 - paillot et belee de fond,"paillot, tramail et belee de fond",web,Labrus Bergylta,labridae,labriformes
18,"Vieille - petite vieille - crenilabre commun, crenilabre melops",Wrasse,25+,1-2,"Auderville annees 70, 80, Ecrehous 1989","a la ligne, au ver, crevette ou encornet",reelle,Symphodus melops,labridae,labriformes
19,"araignee, crabe de seyne",Spider crab,25+,0.4-3,photo au marche - jul 2019,"Rocaille, a pied, au crochet a Barneville",web,Maja squinado,majidae,decapoda
20,moussette - araignee juvenile,Juvenile spidercrab,100+,0.4-2,"Barneville, Ecalgrain","Rocaille, a pied, au crochet a Barneville ou Ecalgrain",web,Maja squinado juvenile,majidae,decapoda
21,colin (merlu commun); petit colin,,50+,1-5,"le long de la cote du Cotentin, Ecrehous, Ecalgrain","a la dandinette en mer, ou paillot, belee de fond ou tramail",reelle,Merluccius merluccius,merlucciidae,gadiforme
22,bar,seabass,25+,1-4,"Auderville - leurre, paillot et tramail, ou a la traine","paillot, tramail, ou a la traine en mer, paravane et mitraillette",reelle,Dicentrarchus labrax,moronidae,moroniformes
23,mulet,Mulet,100+,0.2-1,"Havre de Carteret, un en photo a recuperer",a la ligne a eperlan hamecon n18/20,web,Mugil spp,mugilidae,mugiliforme
24,homard Breton,Lobster,25+,0.5-2.5,photo de July 2017 - non peche - July 2019,"Rocaille, a pied, au crochet a Barneville",web,Homarus grammarus,nephropidae,decapoda
25,petit poulpe - Aurelien,Octopus,2+,0.4,Ecalgrain,"Rocaille, a pied, au crochet a Barneville ou Ecalgrain",web,Octopus vulgaris,octopodidae,octopoda
26,eperlan,"Spearing, European smelt",500+,0.1,"Havre de Carteret, 1973-2024",a la ligne a eperlan hamecon n18/20,reelle,Osmerus eperlanus,osmeridae,osmeriformes
27,Bouquet - crevette - demoiselle de Cherbourg,,100+,0.1,"Havre, Ecalgrain",a l'epuisette,reelle,Palaemon serratus,Palaemonidae,decapoda
28,Perche juvenile,,1,0.5,Perche pechee a l'etang Rpbert a Choussy,"petite ligne eperlan, grain de mais",reelle,perca fluviatilis,percidae,perciforme
29,"plie, carrelet",Plaice,50+,1-2,"Havre de Carteret, carteret, Brighton, Ecalgrain",A la fouine dans le Havre ou la mare Ronde. A la ligne a Brighton,reelle,Pleuronectes platessa,pleuronectidae,pleuronectiforme
30,"etrille, anglette",,300+,0.2,"Barneville, Ecalgrain","Rocaille, a pied, au crochet a Barneville ou Ecalgrain",reelle,Necora puber,polybiidae,decapoda
31,maquereau,Mackerel,500+,0.3-1,"le long de la cote du Cotentin, Jersey, Ecrehous",a la traine a la mitraillette et paravane,reelle,Scomber scombrus,scombridae,scombriformes
32,barbue,Hake,2+,1-2,Marre ronde - Carteret,a la fouine peche a pied,web,Scophtalmus rhombus,scophthalmidae,pleuronectiforme
33,turbot,Turbot,4+,1-3,Auderville - mars 2013 - paillot et tramail,"au paillot, appat ver ou encornet",reelle,Scophthalmus maximus ou psetta maxima,scophthalmidae,pleuronectiforme
34,"Petite roussette, saumonette","lesser-spotted dogfish, sandy dogfish, catshark",10+,0.5-1,paillot a Hatainville / brighton / Ecrehous,"au paillot, appat ver ou encornet, ligne",reelle,"Scyliorhinus canicula, Linnaeus, 1758",scyliorhinidae,Carcharhiniformes
35,Sole,Sole,25+,1-2,"Havre de Carteret, ligne de la plage, mare Ronde",A la fouine a la mare Ronde,web,Solea solea,soleidae,pleuronectiforme
36,Sole de roche a Ecalgrain,Rock sole,1,1-2,peche dans la caverne dans les Buttes,A la pique du crochet dans la caverne,web,Microchirus variegatus,soleidae,pleuronectiforme
37,Breme - daurade grise,,50+,1-2,Auderville - annees 70 - paillot et belee de fond,"paillot, tramail et belee de fond",web,Spondyliosoma cantharus,sparidae,spariformes
